OBJECTID,Date,Inspector,Protection,Population,Tag_number,Year,Health,Secondary Pads,Tertiary Pads,Quaternary Pads,Length,Width,Monitor,Notes,GlobalID,x,y
547,8/20/2018 16:21,Brooke Wainwright,Rebar,Muddy,642,2013-2014,5,20,11,2,72,56,1,,42458ad5-3a5b-4ce1-a604-fff7d41abe82,-119.2377117,35.02580154
200,8/13/2018 17:04,Brooke Wainwright,Vaca,Lobos,757,2014-2015,4,12,4,0,75,53,1," pads broken off and scattered, still alive",645dd2dc-c295-454f-b4db-e4f1c78587db,-119.2192354,34.99463951
297,8/28/2018 20:43,Brooke Wainwright,Rocks and Rebar,Salt,674,2013-2014,5,13,11,6,88,44,1,,f8c40ce3-b8f0-4cb0-bd05-84834ee5931e,-118.9721868,34.97637898
426,8/21/2018 17:18,Brooke Wainwright,Rebar,Historic,698,2013-2014,5,9,10,6,73,52,1,,89489a59-9538-4dd7-ab94-76e07af6c8ff,-119.0867095,35.01922585
246,8/13/2018 16:23,Brooke Wainwright,Rocks,Lobos,943,2015-2016,5,15,10,1,66,56,1,,fff2e514-6673-4d2d-95ff-f5fc90e455b8,-119.2194007,34.9953701
111,7/21/2018 19:54,Brooke Wainwright,Rebar,San Emigdio,305,2012-2013,4,8,13,7,59,60,1, one pentary  pad  added to  quarternary  pads  ,75f76c21-5f9b-4739-ae2d-db1f933fa45d,-119.1854964,34.98301157
203,8/13/2018 17:11,Brooke Wainwright,Vaca,Lobos,648,2013-2014,5,12,18,4,64,55,1,,b5af7cfb-b64c-46c4-95fb-5934902cab2e,-119.2192602,34.99453738
149,8/13/2018 15:47,Brooke Wainwright,Vaca,Lobos,659,2013-2014,2,5,0,0,62,55,1," pile of knocked over pads, many  still  alive  ",0af6fdc4-edf1-4966-a627-51a8026c6342,-119.2191364,34.99631371
109,7/21/2018 19:47,Brooke Wainwright,Rebar,San Emigdio,304,2012-2013,5,6,14,9,70,48,1," one pentary  pad, added to quarternary",88643311-fe91-4fb3-962f-6cc511b33d0c,-119.1854019,34.98303695
106,7/21/2018 20:10,Brooke Wainwright,Rocks,San Emigdio,763,2014-2015,5,14,20,2,68,48,1,,8f10b346-8edf-4e1c-860e-883fbf053cfa,-119.1856,34.98312439
183,8/13/2018 16:36,Brooke Wainwright,Vaca,Lobos,653,2013-2014,4,7,3,0,60,54,1,,3e6428d4-64da-4c5d-9dc7-ae1d52555587,-119.2191668,34.99504643
248,8/28/2018 20:11,Brooke Wainwright,Vaca,Salt,799,2014-2015,5,16,13,2,70,46,1,,c8110565-ea17-4341-993d-aa156de72ce5,-118.9717779,34.97706205
541,8/20/2018 16:51,Brooke Wainwright,Rebar,Muddy,634,2013-2014,5,38,10,1,71,45,1,,69a19cda-8656-4fcb-838b-9b97a4dc35ac,-119.2374182,35.02677317
283,8/28/2018 20:55,BW,Vaca,Salt,793,2014-2015,5,13,11,8,77,41,1, 1 pentary pad counted with quaternary ,70ee13df-40f3-4656-bb77-99e9bb7ff6af,-118.9725535,34.97642748
61,7/31/2018 16:47,Brooke Wainwright,Rocks,San Emigdio,838,2015-2016,5,19,11,0,57,53,1,,8f7501f9-232b-42f7-9cc9-95b60723338f,-119.1728455,35.01039661
193,8/13/2018 16:55,Brooke Wainwright,Vaca,Lobos,652,2013-2014,4,9,6,0,67,45,1,,4e6ae5c4-f441-4674-abe4-a74126b5f6da,-119.2192108,34.99487603
232,8/13/2018 16:45,Brooke Wainwright,Rebar,Lobos,920,2015-2016,5,15,6,0,61,48,1,,42a8426c-bcb8-44f7-ae26-c8e6681798b6,-119.2195295,34.99497791
473,8/20/2018 17:12,Brooke Wainwright,Vaca,Muddy,630,2013-2014,5,16,17,10,64,45,1,,87fe37de-fcc0-4b5e-8b84-01c57739da2d,-119.2381667,35.02592328
486,8/20/2018 17:34,Brooke Wainwright,Rebar,Muddy,626,2013-2014,5,15,11,2,55,52,1,,1bdb4886-e4f1-494e-bca3-44b2d9830ade,-119.2386839,35.02523106
295,8/28/2018 20:40,Brooke Wainwright,Rocks and Rebar,Salt,673,2013-2014,5,14,6,0,62,45,1,,0042031c-e07d-41ec-bd65-e5377f2bebc3,-118.9720661,34.97653544
359,8/21/2018 16:38,Brooke Wainwright,Rebar,Historic,710,2013-2014,5,14,8,0,58,47,1,,8bcc7148-bb26-4a34-92fe-7f7a9a496d4c,-119.0876375,35.01956003
577,8/21/2018 16:32,Daisy Carillo,Rocks,Historic,712,2014-2015,5,19,8,0,55,49,1, rebar looks plain,1d4562a6-fc42-460f-8b6d-d6c9ad25a577,-119.0876173,35.01907478
470,8/20/2018 16:42,Brooke Wainwright,Rebar,Muddy,640,2013-2014,5,18,11,0,52,50,1,,f7ee46ff-616c-4ef1-bef3-d57298123b75,-119.2374753,35.02618984
164,8/13/2018 16:13,Brooke Wainwright,Vaca,Lobos,751,2014-2015,5,12,10,1,55,47,1,,cf18a85e-94fe-4327-b546-df8756b16e69,-119.219279,34.99542369
188,8/13/2018 16:17,Brooke Wainwright,Vaca,Lobos,654,2013-2014,5,14,14,1,53,48,1,,f1ba7b22-19e5-43a8-963a-1a62b84b54c3,-119.2191653,34.99532817
351,8/21/2018 16:06,Brooke Wainwright,Rebar,Historic,821,2014-2015,5,14,11,0,51,49,1,,6be9dbf6-3abe-4319-8c46-c75ce5fd5d43,-119.0872984,35.01995518
210,8/13/2018 17:26,Brooke Wainwright,Rocks,Lobos,928,2015-2016,4,21,6,0,51,49,1,,01a030cc-f0c1-4406-bd82-03d56ebf6801,-119.2193933,34.9943118
48,7/12/2018 20:31,Brooke Wainwright,Rocks,San Emigdio,611,2013-2014,5,20,14,0,45,55,1, evidence  of  flowering  ,86bcffc2-7fd6-4261-8c28-2fa2b9c60bcb,-119.180387,34.99250338
536,8/20/2018 16:48,Brooke Wainwright,Rebar,Muddy,639,2013-2014,5,13,0,0,56,44,1,half of primary pads buried in fresh sediment,7f78f529-6d4a-4327-8081-9560709a70bf,-119.2373814,35.02628368
355,8/21/2018 16:09,Brooke Wainwright,Rebar,Historic,709,2013-2014,5,19,14,0,52,47,1,,89bf8758-b918-40db-9f49-3a95424e5fc7,-119.0875894,35.01976817
233,8/13/2018 16:43,Brooke Wainwright,Rocks,Lobos,919,2015-2016,4,12,3,0,52,47,1,,782c996a-a0fb-4128-8c91-fbd34c48d916,-119.2195364,34.99503574
310,8/28/2018 20:50,Brooke Wainwright,Rocks and Rebar,Salt,788,2014-2015,5,11,17,1,49,49,1,,a635d965-9056-4261-887d-50c5d7f09e44,-118.9723014,34.97637531
331,8/28/2018 20:21,Brooke Wainwright,Rocks and Rebar,Salt,801,2014-2015,5,16,9,0,63,38,1,,62e74b19-8774-48c5-a1fe-28246b603657,-118.9719689,34.97706994
27,7/12/2018 21:24,Brooke Wainwright,Rocks,San Emigdio,843,2015-2016,5,18,2,0,49,48,1, evidence  of  flowering  ,91a07f99-83c8-4690-a50c-a741b1dc2961,-119.1803299,34.99277974
326,8/28/2018 20:36,DC,Rocks and Rebar,Salt,803,2014-2015,5,18,6,1,63,37,1,,6e39b576-cceb-46c8-9d3e-162a89bdd6f9,-118.9722871,34.97679512
408,8/21/2018 16:43,Brooke Wainwright,Vaca,Historic,704,2013-2014,5,15,11,1,52,42,1,,d15fcf2f-1cae-4e5d-82c4-04a5a0af4a03,-119.0871287,35.01946038
417,8/21/2018 18:01,Brooke Wainwright,Rebar,Historic,813,2014-2015,5,9,11,1,58,36,1,,c4a22af2-261f-44c7-9aaf-2d9052f3aee8,-119.0868096,35.0189421
472,8/20/2018 17:04,Brooke Wainwright,Rebar,Muddy,730,2014-2015,5,18,12,0,47,44,1,,cdf91146-ba88-474e-916c-88952a7ae31b,-119.2379341,35.02605697
397,8/21/2018 15:48,Brooke Wainwright,Vaca,Historic,807,2014-2015,5,11,8,0,48,42,1,,d5ce16b3-c9bd-4836-a3b6-7b69c238dcc8,-119.0868123,35.01975779
348,8/21/2018 16:04,Brooke Wainwright,Rebar,Historic,707,2013-2014,4,20,5,0,53,38,1,,2ec63a1d-aefd-42c9-a0c0-372c59a6dd09,-119.0871436,35.01988408
323,8/28/2018 20:27,DC,Rocks and Rebar,Salt,683,2013-2014,4,15,3,0,53,38,1,,1165abd8-29e7-48f4-8b88-0a06aa073278,-118.9719617,34.97684378
284,8/28/2018 20:59,BW,Rebar,Salt,792,2014-2015,5,17,6,0,59,34,1,,fe81168d-8faf-4f7a-b23a-83d63bf4697a,-118.9725985,34.97635323
286,8/28/2018 21:15,BW,Rocks and Rebar,Salt,691,2013-2014,5,22,11,2,50,40,1,,232e2e36-cb71-407b-9a3a-c9a90c3070de,-118.9728578,34.97630191
471,8/20/2018 16:58,Brooke Wainwright,Vaca,Muddy,729,2014-2015,5,14,7,1,50,40,1,,ecf03348-142b-4ee7-9261-ef546880bcba,-119.2377296,35.02623141
328,8/28/2018 20:29,DC,Rocks,Salt,797,2014-2015,5,12,12,1,55,36,1,,dfa8d908-f678-4774-a26c-a786b28b6685,-118.9721316,34.97680954
573,8/20/2018 16:21,Daisy Carillo,Rocks,Muddy,956,2015-2016,5,17,2,0,46,43,1,"evidence  of  flowers, I fallen pad counted as secondary",3b1a2dd3-fab1-479f-a9ce-c117fc82697a,-119.2390631,35.02549217
502,8/20/2018 16:09,Brooke Wainwright,Rocks,Muddy,541,2016-2017,5,12,0,0,58,34,1,2017 bases buried in fresh sediment (flooding). 1 pad washed out of rock circle (large length),94090a82-fe8e-40b7-bf4b-7377ace94892,-119.2377911,35.02549303
150,8/13/2018 15:42,Brooke Wainwright,Vaca,Lobos,660,2013-2014,4,5,1,0,49,40,1,,7be58604-3b9f-4697-af08-83e220ea3e3b,-119.219134,34.99647052
139,8/13/2018 15:35,Brooke Wainwright,Rebar,Lobos,740,2014-2015,5,12,10,0,49,40,1,,2d581c0a-14be-4dea-a6c3-4a941bfcac9b,-119.2192047,34.99664655
120,8/13/2018 15:12,Brooke Wainwright,Vaca,Lobos,663,2013-2014,5,16,8,0,44,44,1,lots of grass,5071a550-7470-455a-aafe-d54af6bb6632,-119.2178294,35.00020589
516,8/20/2018 15:46,Brooke Wainwright,Rebar,Muddy,714,2014-2015,5,20,7,0,47,41,1,,5b6bb846-ed20-40bd-a270-9f62a9516c68,-119.2383026,35.02493977
50,7/31/2018 16:33,Brooke Wainwright,Rocks,San Emigdio,830,2015-2016,5,20,4,0,52,37,1,,24594e11-ef57-4129-a531-1c790b443916,-119.1729983,35.01047624
480,8/20/2018 17:26,Brooke Wainwright,Rebar,Muddy,734,2014-2015,5,10,7,0,45,42,1,,daa7a240-3442-4073-8ff6-6582e566b15c,-119.2383444,35.025624
556,8/20/2018 17:17,Brooke Wainwright,Rebar,Muddy,629,2013-2014,5,20,9,1,46,41,1,,2170e3e7-bade-4848-8c9d-efbe3025d3bf,-119.2383415,35.02581801
485,8/20/2018 17:34,Daisy Carillo,Rebar,Muddy,627,2013-2014,5,11,12,0,48,38,1,,0c6a886f-3892-4fd6-b827-a8f0b24aa681,-119.238662,35.02541375
238,8/13/2018 16:30,Brooke Wainwright,Rebar,Lobos,940,2015-2016,5,15,7,0,42,42,1,,1424a91c-9d66-420a-adbf-ac5d478023cb,-119.2194377,34.99516366
419,8/21/2018 17:37,Daisy Carillo,Vaca,Historic,700,2013-2014,4,12,11,0,43,41,1,,cb64bd7d-c088-48b8-8829-acb60ac00b87,-119.0867308,35.01897016
306,8/28/2018 21:11,Brooke Wainwright,Rocks and Rebar,Salt,678,2013-2014,5,19,2,0,50,35,1,,054349a9-17f7-444f-a299-012016ac99ed,-118.9725172,34.97631397
727,8/28/2018 20:18,Daisy Carillo,Rocks,Salt,0,2017-2018,5,4,0,0,38,46,2,,97ecfb92-0bdb-4390-8483-a08e52cab41d,-118.9711961,34.97834613
321,8/28/2018 20:19,Brooke Wainwright,Rocks and Rebar,Salt,684,2013-2014,5,13,8,1,47,37,1,,5e617197-1e96-4d06-b26f-9816f6cf167f,-118.9718381,34.97692129
515,8/20/2018 15:45,Brooke Wainwright,Rebar,Muddy,152,2012-2013,5,5,4,0,43,40,1,,e76212ab-e13a-451a-b919-d94e9656cdd8,-119.2383398,35.02493288
357,8/21/2018 16:36,Brooke Wainwright,Vaca,Historic,824,2014-2015,5,6,9,2,52,33,1,2017 missing tag. 2018 tag on ground,4fe6023d-667b-47a7-bf76-dc7f196717fd,-119.0875593,35.01958858
533,8/20/2018 16:33,Brooke Wainwright,Rebar,Muddy,723,2014-2015,5,23,4,0,44,39,1,,9ed80718-e481-4334-ad27-203cc03871af,-119.2377271,35.02598347
588,8/21/2018 18:05,Brooke Wainwright,Rocks,Historic,545,2016-2017,3,9,0,0,42,40,1,,dd4fca9f-c91e-44b4-b57f-778d6c67db65,-119.0865315,35.01913747
700,8/20/2018 17:12,Daisy Carillo,Rocks,Muddy,0,2017-2018,3,2,0,0,46,36,1,,9d5cb41a-8cc4-4377-bc83-9f7a798043c5,-119.2390457,35.02737188
571,8/20/2018 16:29,Daisy Carillo,Rebar,Muddy,958,2015-2016,5,14,1,0,33,50,1,evidence of flowers,0b833598-30f6-49f0-bf55-b6a38045b7f8,-119.2393833,35.0255331
135,8/13/2018 15:31,Brooke Wainwright,Rebar,Lobos,739,2014-2015,5,16,6,0,50,32,1,,214f4563-d0d5-4410-8b99-3d9657e029fe,-119.2192274,34.99671294
732,8/28/2018 20:57,Daisy Carillo,Rocks,Salt,0,2017-2018,5,4,0,0,40,40,1,,6019c40c-7ae0-46c1-a398-970bd25356fe,-118.9712021,34.97724121
429,8/21/2018 17:31,Brooke Wainwright,Rocks,Historic,865,2015-2016,4,9,2,0,38,42,1,,6ada74b8-d1ba-40ca-811b-e295363385d6,-119.0868516,35.01936226
66,7/31/2018 16:50,Brooke Wainwright,Rebar,San Emigdio,623,2013-2014,3,5,4,2,40,39,1,,aaa8e4ad-e4cf-4c9d-a6b6-acb3673525a2,-119.1726813,35.01031064
415,8/21/2018 17:52,Brooke Wainwright,Rebar,Historic,869,2015-2016,5,17,4,0,40,39,1,,4763df77-47b1-4d27-ae1d-a112ea45c356,-119.0868742,35.01912713
745,8/21/2018 16:44,Daisy Carillo,Rocks,Historic,0,2017-2018,5,6,0,0,40,39,1,,3c62ebac-022c-4c89-9199-a020684bff9d,-119.0877465,35.01862679
746,8/21/2018 16:20,Daisy Carillo,Rocks,Historic,0,2017-2018,5,6,0,0,42,37,1,,c3faae8a-b397-46ff-ac64-9a22a7817c1c,-119.0882014,35.01854509
720,8/28/2018 21:02,Daisy Carillo,Rocks,Salt,0,2017-2018,5,0,0,0,39,39,1,,ac2e8436-7fd6-44bc-ab48-c7c9e45d556d,-118.9713857,34.97714224
743,8/21/2018 16:47,Daisy Carillo,Rocks,Historic,0,2017-2018,5,4,0,0,40,38,1,,7a92b65d-b5bf-4b83-99b6-0d093b7f2cb7,-119.0880577,35.01842172
519,8/20/2018 15:56,Brooke Wainwright,Rebar,Muddy,716,2014-2015,5,9,16,3,45,33,1,,151d4010-78cb-432e-89b3-d90ca90bee1f,-119.2381803,35.02524016
751,8/21/2018 16:23,Daisy Carillo,Rocks,Historic,0,2017-2018,5,8,0,0,45,33,1,,3461da80-991b-4e8b-93ec-7e44a3cf965f,-119.0880753,35.01870666
725,8/28/2018 20:26,Daisy Carillo,Rocks,Salt,0,2017-2018,5,1,0,0,39,38,1,,9b4f24d3-d162-4aa3-905c-05e4c6c192fa,-118.9711544,34.97788118
386,8/21/2018 16:11,Brooke Wainwright,Rocks,Historic,883,2015-2016,5,11,1,0,40,37,1,,7c4dc2c1-048a-4398-94e1-8a4b7300f49f,-119.0873673,35.01980017
219,8/13/2018 16:50,Brooke Wainwright,Rocks and Rebar,Lobos,923,2015-2016,4,12,0,0,40,37,1,,b5a52dcc-bbf4-4fea-8ebe-c3ebd52f5060,-119.2194965,34.99471542
731,8/28/2018 20:24,Daisy Carillo,Rocks,Salt,0,2017-2018,5,4,0,0,40,37,1,,97acff5c-e835-4762-b7de-b7f9175a6119,-118.9710745,34.9780058
65,7/31/2018 16:52,Brooke Wainwright,Rebar,San Emigdio,776,2014-2015,4,9,0,0,42,35,1,,444efc7e-fbdd-40e2-8f4d-20254f62d297,-119.1726329,35.0103597
225,8/13/2018 17:02,Brooke Wainwright,Rocks,Lobos,931,2015-2016,4,16,2,0,42,35,1,,fa8866ee-dcb3-4b11-9d34-f76c937ee892,-119.2193003,34.99469167
258,8/28/2018 20:58,Elizabeth Perez,Rebar,Salt,907,2015-2016,5,20,3,,49,30,1,,420d4250-af1d-41de-9916-5e4a66204d64,-118.9726358,34.97674438
345,8/21/2018 16:02,Brooke Wainwright,Rebar,Historic,142,2012-2013,5,6,1,3,47,31,1,,a5b651db-376f-4712-a173-83aca181020d,-119.0870151,35.01981608
299,8/28/2018 21:02,Brooke Wainwright,Rocks and Rebar,Salt,789,2014-2015,5,12,8,0,50,29,1,,c1e49a50-bb49-443c-8e52-146102509fc9,-118.9724084,34.97628491
518,8/20/2018 15:54,Brooke Wainwright,Rebar,Muddy,645,2013-2014,4,17,4,0,40,36,1,,35419dd7-e1c8-49b9-9a83-a0c8df9583c6,-119.2381176,35.02522488
52,7/31/2018 16:36,Brooke Wainwright,Rocks,San Emigdio,831,2015-2016,5,19,7,8,41,35,1,,1fc9a5e3-5a39-4d69-b88b-9c28e9220bca,-119.1729823,35.01049459
699,8/20/2018 17:08,Daisy Carillo,Rocks,Muddy,0,2017-2018,5,3,0,0,38,37,1,,bcdd27aa-9449-4a31-8b09-97115f38c4df,-119.2390828,35.02768404
151,8/13/2018 15:44,Brooke Wainwright,Rebar,Lobos,742,2014-2015,5,9,4,0,39,36,1,,49b38a77-c06c-4969-a458-da4ef5c1290d,-119.2192078,34.99647564
143,8/13/2018 15:52,Brooke Wainwright,Vaca,Lobos,657,2013-2014,4,7,0,0,40,35,1,some buried,b56e0941-574f-40ff-b354-b8ce8cf15bf8,-119.2192005,34.99597152
703,8/20/2018 17:20,Daisy Carillo,Rocks,Muddy,0,2017-2018,4,1,0,0,35,40,1,,f5325e55-0cec-442a-81f1-243372f28a44,-119.2391826,35.02661189
17,7/12/2018 20:57,Brooke Wainwright,Rebar,San Emigdio,3,2012-2013,5,7,5,1,48,29,1,2 rebar,968007b6-61bf-4b04-99a6-f685d2f240cf,-119.1804062,34.99256454
413,8/21/2018 17:39,Brooke Wainwright,Rebar,Historic,816,2014-2015,5,9,7,0,40,34,1,,a1acd783-2a2c-4a04-b7ec-86a3440541d3,-119.087058,35.01931224
158,8/13/2018 15:57,Brooke Wainwright,Rocks and Rebar,Lobos,748,2014-2015,5,7,9,0,40,34,1,,432ca014-b2db-4229-ae0f-6f11fd009ab2,-119.2192316,34.99574368
255,8/28/2018 21:06,Elizabeth Perez,Rebar,Salt,910,2015-2016,5,17,,,40,34,1,,456682dc-8a2c-4f9a-adae-580f6630c716,-118.9723857,34.9768672
692,8/20/2018 16:48,Daisy Carillo,Rocks,Muddy,0,2017-2018,5,6,0,0,37,36,1,,d01e57dc-35f7-489c-bab9-9d638c84fa1e,-119.2385757,35.02677153
291,8/28/2018 20:16,Brooke Wainwright,Rocks and Rebar,Salt,784,2014-2015,5,13,4,0,39,34,1,,5a782e8b-fc78-4dce-91e0-7d16ef26ab10,-118.9717426,34.97683026
256,8/28/2018 21:04,Elizabeth Perez,Rocks,Salt,909,2015-2016,4,12,1,,39,34,1,,92b9bfeb-2a90-4c76-b487-2a4ef952cac8,-118.9724822,34.97683308
373,8/21/2018 18:27,Brooke Wainwright,Rebar,Historic,877,2015-2016,5,16,0,0,32,41,1,,5bdd1ce6-6a29-4d81-9074-b1e00bbfd0aa,-119.0874209,35.01935144
234,8/13/2018 16:41,Brooke Wainwright,Rocks,Lobos,937,2015-2016,5,18,12,1,41,32,1,,daad38c7-39f1-4900-90ad-e74f23a3e02c,-119.2194238,34.99501883
718,8/28/2018 20:38,Daisy Carillo,Rocks,Salt,0,2017-2018,5,2,0,0,41,32,1,,3e7ae57c-33ba-4985-9d33-6c0d7ed12a67,-118.9710121,34.9776216
308,8/28/2018 20:53,Brooke Wainwright,Rocks,Salt,895,2015-2016,5,16,5,0,38,34,1,,4ca9210a-3789-44f7-bf00-44c35be9b72e,-118.9723992,34.97637439
693,8/20/2018 16:51,Daisy Carillo,Rocks,Muddy,0,2017-2018,3,3,0,0,38,34,1,,9e0aa73a-37bf-48ee-98cc-3fa81b5a1c48,-119.2384512,35.02699499
216,8/13/2018 17:14,Brooke Wainwright,Rocks,Lobos,926,2015-2016,5,15,1,0,40,32,1,,161efdbf-a64b-4a02-a3f0-242126d230bf,-119.2193819,34.99447691
393,8/21/2018 18:29,Daisy Carillo,Vaca,Historic,615,2014-2015,5,10,10,2,37,34,1,,0ce1b815-b87b-458d-ba68-8218f8ac692f,-119.0870585,35.01916129
424,8/21/2018 17:56,Brooke Wainwright,Rebar,Historic,811,2014-2015,5,12,6,0,40,31,1,,96b38c2e-7ab2-454c-a5cd-f6e247858662,-119.0868209,35.01920515
99,7/21/2018 20:23,Brooke Wainwright,Rocks,San Emigdio,851,2015-2016,5,13,3,0,40,31,1,,278f80b4-f590-4145-9158-260e0f6ba176,-119.18561,34.98326954
538,8/20/2018 16:45,Brooke Wainwright,Rebar,Muddy,725,2014-2015,5,9,17,1,44,28,1,,f867fb10-9247-4c12-9f11-53faf8ef89c5,-119.2375074,35.02630722
370,8/21/2018 18:11,Brooke Wainwright,Rebar,Historic,874,2015-2016,5,14,1,0,35,35,1,,16089b09-a0c1-4816-8b8d-7d1510c9da0a,-119.0874771,35.01918794
392,8/21/2018 18:03,Daisy Carillo,Vaca,Historic,701,2013-2014,4,5,8,3,45,27,1,,8db3152c-af3e-488f-a7f9-dd0af229691d,-119.0871863,35.01910561
557,8/20/2018 17:29,Brooke Wainwright,Rebar,Muddy,628,2013-2014,5,13,9,0,35,34,1,,3651e0fb-9a3d-486b-8c8b-d3ea0ba391a6,-119.2385523,35.02558834
570,8/20/2018 16:26,Daisy Carillo,Rocks,Muddy,959,2015-2016,4,12,1,0,37,32,1, 1 fallen pad counted as secondary,c0d97ef7-050a-4a6d-a214-986fd351d665,-119.2394201,35.02546028
459,8/20/2018 16:40,Brooke Wainwright,Rocks,Muddy,526,2016-2017,5,12,3,0,45,26,1,,ffb73f57-edfa-4919-80cf-8b1025a6cb6a,-119.2376438,35.02616282
696,8/20/2018 17:01,Daisy Carillo,Rocks,Muddy,0,2017-2018,5,2,0,0,37,31,1,,a7ab528c-f6b9-4f76-add1-7c674e7819f1,-119.2384425,35.02774321
728,8/28/2018 20:16,Daisy Carillo,Rocks,Salt,0,2017-2018,5,2,0,0,30,38,1,,b661ff40-9226-474a-a991-6d7d65af16f4,-118.9713342,34.97849881
687,8/20/2018 16:36,Daisy Carillo,Rocks,Muddy,0,2017-2018,4,3,0,0,33,34,1,,a8fdbae4-f3bc-44f4-8180-852b15797082,-119.2387776,35.02579472
561,8/20/2018 16:15,Daisy Carillo,Rocks,Muddy,950,2015-2016,5,14,8,0,28,40,1,,e1826bc9-7c18-41e7-8ff7-db7aa2c6cfae,-119.2392369,35.02502031
721,8/28/2018 20:33,Daisy Carillo,Rocks,Salt,0,2017-2018,5,6,0,0,26,43,1,,02e9afd5-09c7-4b57-b742-8bad5932e388,-118.9712579,34.97749813
