rep,week,date,mode,mesohabitat,setuptime,lat,long,burrows,x,y,z,notes
VO401,1,11-May,video,open,9:59,35.16338,-119.6338,0,264,194,122,
VO501,1,11-May,video,open,10:10,35.16257,-119.6741,1,433,301,157,
VO601,1,11-May,video,open,10:14,35.16282,-119.67445,0,302,260,114,
VO701,1,11-May,video,open,10:17,35.16255,-119.67483,1,263,239,115,
VO801,1,11-May,video,open,10:20,35.16238,-119.67463,1,266,262,130,
PS102,2,15-May,photo,shrub,9:26,35.119,-119.63033,1,553,417,153,
PS202,2,15-May,photo,shrub,12:05,35.11869,-119.63016,2,531,402,122,
PS302,2,15-May,photo,shrub,12:44,35.1199,-119.62839,1,515,419,137,
PS402,2,15-May,photo,shrub,13:00,35.12051,-119.62907,0,423,356,124,
PS502,2,15-May,photo,shrub,13:05,35.12067,-119.62943,1,262,236,157,
PS602,2,15-May,photo,shrub,12:50,35.12002,-119.6282,0,254,246,95,
PS702,2,15-May,photo,shrub,12:14,35.11832,-119.63064,2,411,399,175,
PS802,2,15-May,photo,shrub,12:27,35.11831,-119.62988,0,427,322,123,
PO102,2,15-May,photo,open,9:26,35.119,-119.63033,1,553,417,153,
PO202,2,15-May,photo,open,12:05,35.11869,-119.63016,2,531,402,122,
PO302,2,15-May,photo,open,12:44,35.1199,-119.62839,1,515,419,137,
PO402,2,15-May,photo,open,13:00,35.12051,-119.62907,0,423,356,124,
PO502,2,15-May,photo,open,13:05,35.12067,-119.62943,1,262,236,157,
PO602,2,15-May,photo,open,12:50,35.12002,-119.6282,0,254,246,95,
PO702,2,15-May,photo,open,12:14,35.11832,-119.63064,2,411,399,175,
PO802,2,15-May,photo,open,12:27,35.11831,-119.62988,0,427,322,123,
VS102,2,14-May,video,shrub,10:34,35.16336,-119.67448,1,386,314,128,
VS202,2,14-May,video,shrub,10:50,35.16371,-119.67426,0,343,262,121,
VS302,2,14-May,video,shrub,10:58,35.16391,-119.67436,2,295,276,122,
VS402,2,14-May,video,shrub,10:42,35.16367,-119.64761,2,386,317,148,
VS502,2,14-May,video,shrub,11:18,35.16307,-119.67505,1,304,256,173,
VS602,2,14-May,video,shrub,11:07,35.16315,-119.67476,1,384,298,131,
VS702,2,14-May,video,shrub,11:30,35.16283,-119.67535,2,397,275,128,
VS802,2,14-May,video,shrub,11:24,35.16246,-119.67507,3,179,173,128,
VO102,2,14-May,video,open,10:34,35.16336,-119.67448,1,386,314,128,
VO202,2,14-May,video,open,10:50,35.16371,-119.67426,0,343,262,121,
VO302,2,14-May,video,open,10:58,35.16391,-119.67436,2,295,276,122,
VO402,2,14-May,video,open,10:42,35.16367,-119.64761,2,386,317,148,VO4 no data
VO502,2,14-May,video,open,11:18,35.16307,-119.67505,1,304,256,173,
VO602,2,14-May,video,open,11:07,35.16315,-119.67476,1,384,298,131,
VO702,2,14-May,video,open,11:30,35.16283,-119.67535,2,397,275,128,
VO802,2,14-May,video,open,11:24,35.16246,-119.67507,3,179,173,128,
PS103,3,20-May,photo,shrub,12:34,35.1181,-119.6311,0,305,292,157,
PS203,3,20-May,photo,shrub,12:40,35.1176,-119.63077,1,191,185,112,
PS303,3,20-May,photo,shrub,12:20,35.12003,-119.62756,1,426,348,147,
PS403,3,20-May,photo,shrub,12:00,35.12124,-119.62891,2,345,208,122,
PS503,3,20-May,photo,shrub,11:55,35.121,-119.62891,0,254,101,101,
PS603,3,20-May,photo,shrub,12:15,35.12044,-119.62775,1,338,320,167,
PS703,3,20-May,photo,shrub,12:52,35.11787,-119.63129,1,284,264,163,
PS803,3,20-May,photo,shrub,12:58,35.11721,-119.63122,2,244,211,132,
PO103,3,20-May,photo,open,12:34,35.1181,-119.6311,0,305,292,157,
PO203,3,20-May,photo,open,12:40,35.1176,-119.63077,1,191,185,112,
PO303,3,20-May,photo,open,12:20,35.12003,-119.62756,1,426,348,147,
PO403,3,20-May,photo,open,12:00,35.12124,-119.62891,2,345,208,122,
PO503,3,20-May,photo,open,11:55,35.121,-119.62891,0,254,101,101,
PO603,3,20-May,photo,open,12:15,35.12044,-119.62775,1,338,320,167,
PO703,3,20-May,photo,open,12:52,35.11787,-119.63129,1,284,264,163,
PO803,3,20-May,photo,open,12:58,35.11721,-119.63122,2,244,211,132,
VS103,3,17-May,video,shrub,9:41,35.16405,-119.67372,1,233,205,198,
VS203,3,17-May,video,shrub,9:58,35.16414,-119.6742,1,283,172,106,
