rep,year,date,mdy,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple
237,2019,2019-05-02,5.2.14,spring,2,7,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
238,2019,2019-08-22,8.22.6,summer,22,42,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,perching
238,2019,2019-05-02,5.2.14,spring,2,7,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,mating behaviors
239,2019,2019-08-22,8.22.6,summer,22,42,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,feeding
241,2019,2019-05-02,5.2.14,spring,2,7,open,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
242,2019,2019-05-02,5.2.14,spring,2,7,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
242,2019,2019-08-22,8.22.6,summer,22,42,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
243,2019,2019-08-22,8.22.6,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
244,2019,2019-05-02,5.2.14,spring,2,7,open,Passerellidae,Black.throated Sparrow,resident,granivore,movement
244,2019,2019-08-22,8.22.6,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
245,2019,2019-08-22,8.22.6,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
246,2019,2019-05-02,5.2.14,spring,2,7,open,Passerellidae,Black.throated Sparrow,resident,granivore,movement
246,2019,2019-08-22,8.22.6,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
247,2019,2019-08-22,8.22.6,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
247,2019,2019-05-02,5.2.14,spring,2,7,shrub,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
248,2019,2019-05-02,5.2.14,spring,2,7,open,Troglodytidae,Rock Wren,resident,insectivore,perching
248,2019,2019-08-22,8.22.6,summer,22,42,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
