rep,year,date,mdy,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple
337,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
337,2019,2019-05-03,5.3.8,spring,3,9,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
338,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
338,2019,2019-05-03,5.3.8,spring,3,9,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
339,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
339,2019,2019-05-03,5.3.8,spring,3,9,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
340,2019,2019-05-03,5.3.8,spring,3,9,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
340,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
341,2019,2019-05-03,5.3.8,spring,3,9,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
341,2019,2019-08-24,8.24.17,summer,24,47,shrub,Odontiphoridae,Gambel's Quail,resident,herbivore,mating behaviors
342,2019,2019-08-24,8.24.17,summer,24,47,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
343,2019,2019-05-03,5.3.8,spring,3,9,cactus,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,perching
344,2019,2019-05-03,5.3.8,spring,3,9,shrub,Remezidae,Verdin,resident,insectivore,mating behaviors
345,2019,2019-05-03,5.3.8,spring,3,9,shrub,Remezidae,Verdin,resident,insectivore,mating behaviors
346,2019,2019-05-03,5.3.8,spring,3,9,shrub,Remezidae,Verdin,resident,insectivore,mating behaviors
347,2019,2019-08-24,8.24.17,summer,24,47,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,movement
347,2019,2019-05-03,5.3.8,spring,3,9,shrub,Remezidae,Verdin,resident,insectivore,mating behaviors
348,2019,2019-05-03,5.3.16,spring,3,10,open,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,mating behaviors
349,2019,2019-05-03,5.3.16,spring,3,10,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,mating behaviors
349,2019,2019-08-24,8.24.17,summer,24,47,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
350,2019,2019-05-03,5.3.16,spring,3,10,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,mating behaviors
350,2019,2019-08-24,8.24.17,summer,24,47,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
351,2019,2019-05-03,5.3.16,spring,3,10,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
352,2019,2019-05-03,5.3.16,spring,3,10,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
353,2019,2019-05-03,5.3.16,spring,3,10,open,Troglodytidae,Rock Wren,resident,insectivore,perching
355,2019,2019-05-03,5.3.16,spring,3,10,open,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,perching
356,2019,2019-05-03,5.3.16,spring,3,10,open,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,perching
357,2019,2019-05-03,5.3.16,spring,3,10,open,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,perching
358,2019,2019-05-03,5.3.16,spring,3,10,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,mating behaviors
359,2019,2019-05-03,5.3.16,spring,3,10,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,mating behaviors
360,2019,2019-05-03,5.3.16,spring,3,10,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,mating behaviors
361,2019,2019-05-03,5.3.16,spring,3,10,open,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,movement
362,2019,2019-05-03,5.3.16,spring,3,10,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
363,2019,2019-05-03,5.3.16,spring,3,10,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
364,2019,2019-05-03,5.3.16,spring,3,10,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
365,2019,2019-05-03,5.3.16,spring,3,10,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
366,2019,2019-05-03,5.3.16,spring,3,10,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
370,2019,2019-05-03,5.3.16,spring,3,10,shrub,Parulidae,Wilson's Warbler,migrant,insectivore,movement
371,2019,2019-05-03,5.3.16,spring,3,10,open,Passerellidae,Black.throated Sparrow,resident,granivore,perching
373,2019,2019-05-03,5.3.16,spring,3,10,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,mating behaviors
374,2019,2019-05-03,5.3.16,spring,3,10,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,mating behaviors
379,2019,2019-05-04,5.4.6,spring,4,11,open,Ptiliogonatidae,Phainopepla,resident,frugivore,movement
380,2019,2019-05-04,5.4.6,spring,4,11,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
381,2019,2019-05-04,5.4.6,spring,4,11,cactus,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
382,2019,2019-05-04,5.4.6,spring,4,11,cactus,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,feeding
384,2019,2019-05-04,5.4.6,spring,4,11,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
385,2019,2019-05-04,5.4.6,spring,4,11,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
386,2019,2019-05-04,5.4.6,spring,4,11,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
387,2019,2019-05-04,5.4.6,spring,4,11,open,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
391,2019,2019-05-04,5.4.6,spring,4,11,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
392,2019,2019-05-04,5.4.6,spring,4,11,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
396,2019,2019-05-04,5.4.6,spring,4,11,open,Troglodytidae,Rock Wren,resident,insectivore,movement
398,2019,2019-05-04,5.4.6,spring,4,11,open,Cardinalidae,Black.headed Grosbeak,summer resident,omnivore,movement
404,2019,2019-05-04,5.4.6,spring,4,11,cactus,Odontiphoridae,Gambel's Quail,resident,herbivore,mating behaviors
405,2019,2019-05-04,5.4.6,spring,4,11,cactus,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,perching
407,2019,2019-05-04,5.4.6,spring,4,11,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
408,2019,2019-05-04,5.4.6,spring,4,11,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
409,2019,2019-05-04,5.4.6,spring,4,11,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
410,2019,2019-05-04,5.4.6,spring,4,11,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
411,2019,2019-05-04,5.4.6,spring,4,11,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
412,2019,2019-05-04,5.4.6,spring,4,11,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
413,2019,2019-05-04,5.4.6,spring,4,11,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
417,2019,2019-05-04,5.4.8,spring,4,12,open,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,feeding
418,2019,2019-05-04,5.4.8,spring,4,12,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
423,2019,2019-05-04,5.4.8,spring,4,12,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
424,2019,2019-05-04,5.4.8,spring,4,12,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
425,2019,2019-05-04,5.4.8,spring,4,12,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,mating behaviors
426,2019,2019-05-04,5.4.8,spring,4,12,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
428,2019,2019-05-04,5.4.8,spring,4,12,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,movement
429,2019,2019-05-04,5.4.8,spring,4,12,open,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
431,2019,2019-05-04,5.4.8,spring,4,12,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
432,2019,2019-05-04,5.4.8,spring,4,12,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
433,2019,2019-05-04,5.4.8,spring,4,12,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
434,2019,2019-05-04,5.4.8,spring,4,12,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
435,2019,2019-05-04,5.4.8,spring,4,12,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
436,2019,2019-05-04,5.4.8,spring,4,12,open,Troglodytidae,Rock Wren,resident,insectivore,movement
437,2019,2019-05-04,5.4.8,spring,4,12,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
438,2019,2019-05-04,5.4.8,spring,4,12,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
439,2019,2019-05-04,5.4.8,spring,4,12,open,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
440,2019,2019-05-04,5.4.8,spring,4,12,open,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
441,2019,2019-05-04,5.4.8,spring,4,12,open,Ptiliogonatidae,Phainopepla,resident,frugivore,movement
443,2019,2019-05-04,5.4.8,spring,4,12,open,Ptiliogonatidae,Phainopepla,resident,frugivore,movement
444,2019,2019-05-04,5.4.8,spring,4,12,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,mating behaviors
450,2019,2019-05-05,5.5.16,spring,5,13,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
451,2019,2019-05-05,5.5.16,spring,5,13,open,Troglodytidae,Rock Wren,resident,insectivore,movement
453,2019,2019-05-05,5.5.16,spring,5,13,cactus,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,perching
454,2019,2019-05-05,5.5.16,spring,5,13,cactus,Mimidae,Northern Mockingbird,resident,omnivore,perching
461,2019,2019-05-05,5.5.16,spring,5,13,open,Columbidae,Mourning Dove,resident,granivore,movement
462,2019,2019-05-05,5.5.16,spring,5,13,open,Passerellidae,Black.throated Sparrow,resident,granivore,movement
464,2019,2019-05-05,5.5.16,spring,5,13,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,movement
465,2019,2019-05-05,5.5.16,spring,5,13,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,perching
469,2019,2019-05-05,5.5.18,spring,5,14,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,feeding
471,2019,2019-05-05,5.5.18,spring,5,14,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,perching
473,2019,2019-05-05,5.5.18,spring,5,14,open,Troglodytidae,Rock Wren,resident,insectivore,perching
474,2019,2019-05-05,5.5.18,spring,5,14,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
475,2019,2019-05-05,5.5.18,spring,5,14,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
476,2019,2019-05-05,5.5.18,spring,5,14,open,Fringillidae,House Finch,resident,frugivore,mating behaviors
477,2019,2019-05-05,5.5.18,spring,5,14,shrub,Fringillidae,House Finch,resident,frugivore,mating behaviors
478,2019,2019-05-05,5.5.18,spring,5,14,shrub,Parulidae,Wilson's Warbler,migrant,insectivore,movement
480,2019,2019-05-05,5.5.18,spring,5,14,open,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
481,2019,2019-05-05,5.5.18,spring,5,14,open,Columbidae,Mourning Dove,resident,granivore,mating behaviors
482,2019,2019-05-05,5.5.18,spring,5,14,open,Columbidae,Mourning Dove,resident,granivore,mating behaviors
488,2019,2019-05-06,5.6.6,spring,6,15,cactus,Remezidae,Verdin,resident,insectivore,movement
489,2019,2019-05-06,5.6.6,spring,6,15,open,Remezidae,Verdin,resident,insectivore,movement
490,2019,2019-05-06,5.6.6,spring,6,15,cactus,Remezidae,Verdin,resident,insectivore,movement
494,2019,2019-05-06,5.6.6,spring,6,15,open,Ptiliogonatidae,Phainopepla,resident,frugivore,perching
495,2019,2019-05-06,5.6.6,spring,6,15,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,movement
496,2019,2019-05-06,5.6.6,spring,6,15,open,Passerellidae,Black.throated Sparrow,resident,granivore,movement
497,2019,2019-05-06,5.6.6,spring,6,15,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,feeding
500,2019,2019-05-06,5.6.6,spring,6,15,cactus,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
501,2019,2019-05-06,5.6.6,spring,6,15,cactus,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
502,2019,2019-05-06,5.6.6,spring,6,15,cactus,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
504,2019,2019-05-06,5.6.6,spring,6,15,shrub,Unknown,Unknown Passerine,unknown,Unknown,movement
505,2019,2019-05-06,5.6.6,spring,6,15,open,Troglodytidae,Rock Wren,resident,insectivore,movement
506,2019,2019-05-06,5.6.6,spring,6,15,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
512,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
513,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
514,2019,2019-05-06,5.6.6,spring,6,15,open,Odontiphoridae,Gambel's Quail,resident,herbivore,movement
515,2019,2019-05-06,5.6.6,spring,6,15,open,Odontiphoridae,Gambel's Quail,resident,herbivore,perching
516,2019,2019-05-06,5.6.6,spring,6,15,open,Odontiphoridae,Gambel's Quail,resident,herbivore,movement
517,2019,2019-05-06,5.6.6,spring,6,15,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,movement
519,2019,2019-05-06,5.6.6,spring,6,15,shrub,Parulidae,Wilson's Warbler,migrant,insectivore,feeding
520,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
521,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
522,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
523,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
524,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
525,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
526,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
527,2019,2019-05-06,5.6.6,spring,6,15,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
528,2019,2019-05-06,5.6.6,spring,6,15,cactus,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
530,2019,2019-05-06,5.6.6,spring,6,15,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
532,2019,2019-05-06,5.6.6,spring,6,15,cactus,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
533,2019,2019-05-06,5.6.6,spring,6,15,open,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,feeding
535,2019,2019-05-06,5.6.6,spring,6,15,open,Columbidae,Mourning Dove,resident,granivore,movement
536,2019,2019-05-06,5.6.8,spring,6,16,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
537,2019,2019-05-06,5.6.8,spring,6,16,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,mating behaviors
542,2019,2019-05-06,5.6.8,spring,6,16,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,perching
543,2019,2019-05-06,5.6.8,spring,6,16,open,Columbidae,Mourning Dove,resident,granivore,movement
544,2019,2019-05-06,5.6.8,spring,6,16,open,Columbidae,Mourning Dove,resident,granivore,movement
545,2019,2019-05-06,5.6.8,spring,6,16,open,Hirundinidae,Violet.green Swallow,summer resident,insectivore,movement
546,2019,2019-05-06,5.6.8,spring,6,16,shrub,Tyrannidae,Gray Flycatcher,migrant,insectivore,perching
549,2019,2019-05-06,5.6.8,spring,6,16,shrub,Tyrannidae,Pacific.slope Flycatcher,migrant,insectivore,perching
550,2019,2019-05-06,5.6.8,spring,6,16,shrub,Tyrannidae,Gray Flycatcher,migrant,insectivore,perching
551,2019,2019-05-06,5.6.8,spring,6,16,shrub,Remezidae,Verdin,resident,insectivore,mating behaviors
552,2019,2019-05-06,5.6.8,spring,6,16,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
554,2019,2019-05-06,5.6.8,spring,6,16,open,Columbidae,Mourning Dove,resident,granivore,movement
555,2019,2019-05-06,5.6.8,spring,6,16,open,Columbidae,Mourning Dove,resident,granivore,movement
556,2019,2019-05-06,5.6.8,spring,6,16,open,Apodidae,White.throated Swift,resident,insectivore,movement
557,2019,2019-05-06,5.6.8,spring,6,16,open,Apodidae,White.throated Swift,resident,insectivore,movement
558,2019,2019-05-06,5.6.8,spring,6,16,cactus,Tyrannidae,Say's Phoebe,resident,insectivore,mating behaviors
560,2019,2019-05-06,5.6.8,spring,6,16,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
564,2019,2019-05-06,5.6.8,spring,6,16,open,Hirundinidae,Violet.green Swallow,summer resident,insectivore,movement
566,2019,2019-05-06,5.6.8,spring,6,16,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
567,2019,2019-05-06,5.6.8,spring,6,16,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
568,2019,2019-05-06,5.6.8,spring,6,16,open,Troglodytidae,Rock Wren,resident,insectivore,movement
569,2019,2019-05-06,5.6.8,spring,6,16,open,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,movement
570,2019,2019-05-06,5.6.8,spring,6,16,open,Passerellidae,Black.throated Sparrow,resident,granivore,perching
571,2019,2019-05-06,5.6.8,spring,6,16,open,Passerellidae,Black.throated Sparrow,resident,granivore,perching
572,2019,2019-05-06,5.6.8,spring,6,16,open,Hirundinidae,Violet.green Swallow,summer resident,insectivore,movement
573,2019,2019-05-06,5.6.8,spring,6,16,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
574,2019,2019-05-06,5.6.8,spring,6,16,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
575,2019,2019-05-06,5.6.8,spring,6,16,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
576,2019,2019-05-06,5.6.8,spring,6,16,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
577,2019,2019-05-06,5.6.8,spring,6,16,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
578,2019,2019-05-06,5.6.8,spring,6,16,open,Odontiphoridae,Gambel's Quail,resident,herbivore,movement
579,2019,2019-05-06,5.6.8,spring,6,16,open,Odontiphoridae,Gambel's Quail,resident,herbivore,movement
580,2019,2019-05-06,5.6.8,spring,6,16,shrub,Remezidae,Verdin,resident,insectivore,movement
581,2019,2019-05-06,5.6.8,spring,6,16,shrub,Remezidae,Verdin,resident,insectivore,movement
582,2019,2019-05-06,5.6.8,spring,6,16,shrub,Remezidae,Verdin,resident,insectivore,movement
583,2019,2019-05-06,5.6.8,spring,6,16,shrub,Remezidae,Verdin,resident,insectivore,movement
584,2019,2019-05-06,5.6.8,spring,6,16,shrub,Remezidae,Verdin,resident,insectivore,movement
585,2019,2019-05-06,5.6.8,spring,6,16,shrub,Remezidae,Verdin,resident,insectivore,movement
586,2019,2019-05-06,5.6.8,spring,6,16,open,Mimidae,Northern Mockingbird,resident,omnivore,movement
592,2019,2019-05-06,5.6.16,spring,6,17,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,movement
593,2019,2019-05-06,5.6.16,spring,6,17,cactus,Parulidae,Wilson's Warbler,migrant,insectivore,feeding
593.5,2019,2019-05-06,5.6.16,spring,6,17,open,Passerellidae,Black.throated Sparrow,resident,granivore,movement
594,2019,2019-05-06,5.6.16,spring,6,17,open,Ptiliogonatidae,Phainopepla,resident,frugivore,movement
596,2019,2019-05-06,5.6.16,spring,6,17,open,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,mating behaviors
597,2019,2019-05-06,5.6.16,spring,6,17,open,Columbidae,Mourning Dove,resident,granivore,movement
598,2019,2019-05-06,5.6.16,spring,6,17,open,Columbidae,Mourning Dove,resident,granivore,movement
599,2019,2019-05-06,5.6.16,spring,6,17,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
600,2019,2019-05-06,5.6.16,spring,6,17,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
601,2019,2019-05-06,5.6.16,spring,6,17,cactus,Mimidae,Northern Mockingbird,resident,omnivore,perching
603,2019,2019-05-06,5.6.16,spring,6,17,shrub,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,feeding
604,2019,2019-05-06,5.6.16,spring,6,17,open,Troglodytidae,Rock Wren,resident,insectivore,movement
605,2019,2019-05-06,5.6.16,spring,6,17,open,Mimidae,Northern Mockingbird,resident,omnivore,movement
606,2019,2019-05-06,5.6.16,spring,6,17,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
608,2019,2019-05-06,5.6.16,spring,6,17,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
609,2019,2019-05-06,5.6.16,spring,6,17,open,Hirundinidae,Violet.green Swallow,summer resident,insectivore,movement
610,2019,2019-05-06,5.6.16,spring,6,17,open,Hirundinidae,Violet.green Swallow,summer resident,insectivore,movement
611,2019,2019-05-06,5.6.16,spring,6,17,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
614,2019,2019-05-06,5.6.16,spring,6,17,cactus,Tyrannidae,Say's Phoebe,resident,insectivore,perching
615,2019,2019-05-06,5.6.16,spring,6,17,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,mating behaviors
616,2019,2019-05-06,5.6.16,spring,6,17,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,perching
618,2019,2019-05-07,5.7.8,spring,7,18,open,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
619,2019,2019-05-07,5.7.8,spring,7,18,open,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
621,2019,2019-05-07,5.7.8,spring,7,18,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
623,2019,2019-05-07,5.7.8,spring,7,18,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,perching
626,2019,2019-05-07,5.7.8,spring,7,18,shrub,Parulidae,Townsend's Warbler,migrant,insectivore,feeding
627,2019,2019-05-07,5.7.8,spring,7,18,shrub,Vireonidae,Warbling Vireo,migrant,insectivore,feeding
628,2019,2019-05-07,5.7.8,spring,7,18,shrub,Parulidae,Townsend's Warbler,migrant,insectivore,feeding
629,2019,2019-05-07,5.7.8,spring,7,18,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
630,2019,2019-05-07,5.7.8,spring,7,18,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
632,2019,2019-05-07,5.7.8,spring,7,18,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
633,2019,2019-05-07,5.7.8,spring,7,18,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,feeding
635,2019,2019-05-07,5.7.8,spring,7,18,shrub,Parulidae,Townsend's Warbler,migrant,insectivore,feeding
636,2019,2019-05-07,5.7.8,spring,7,18,shrub,Tyrannidae,Pacific.slope Flycatcher,migrant,insectivore,perching
637,2019,2019-05-07,5.7.8,spring,7,18,open,Columbidae,Mourning Dove,resident,granivore,movement
638,2019,2019-05-07,5.7.8,spring,7,18,open,Columbidae,Mourning Dove,resident,granivore,movement
643,2019,2019-05-07,5.7.8,spring,7,18,shrub,Tyrannidae,Gray Flycatcher,migrant,insectivore,perching
652,2019,2019-05-07,5.7.10,spring,7,19,cactus,Ptiliogonatidae,Phainopepla,resident,frugivore,perching
654,2019,2019-05-07,5.7.10,spring,7,19,cactus,Troglodytidae,Cactus Wren,resident,omnivore,mating behaviors
657,2019,2019-05-07,5.7.10,spring,7,19,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
658,2019,2019-05-07,5.7.10,spring,7,19,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
659,2019,2019-05-07,5.7.10,spring,7,19,open,Mimidae,Northern Mockingbird,resident,omnivore,movement
660,2019,2019-05-07,5.7.10,spring,7,19,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
661,2019,2019-05-07,5.7.10,spring,7,19,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
662,2019,2019-05-07,5.7.10,spring,7,19,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
663,2019,2019-05-07,5.7.10,spring,7,19,open,Troglodytidae,Rock Wren,resident,insectivore,movement
669,2019,2019-05-07,5.7.10,spring,7,19,cactus,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
670,2019,2019-05-07,5.7.10,spring,7,19,open,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
672,2019,2019-05-07,5.7.10,spring,7,19,shrub,Parulidae,Wilson's Warbler,migrant,insectivore,movement
676,2019,2019-05-07,5.7.12,spring,7,20,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
677,2019,2019-05-07,5.7.12,spring,7,20,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
679,2019,2019-05-07,5.7.12,spring,7,20,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
682,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
683,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
684,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
685,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
686,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
687,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
688,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
689,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
690,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
691,2019,2019-05-07,5.7.12,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,mating behaviors
