tag,weight,fruit_x,fruit_y,fruit_z,color,condition
333,2.67,15,15,20,grey,dessicated
333,2.63,15,15,20,grey,dessicated
333,2.56,20,20,20,grey,dessicated
333,2.41,15,15,20,grey,dessicated
333,2.4,20,15,20,grey,dessicated
334,4.7,25,25,20,grey,dessicated
334,4.32,20,20,25,grey,dessicated
334,4.23,15,15,25,grey,dessicated
334,3.87,20,20,25,grey,dessicated
334,3.44,20,15,20,grey,dessicated
334,3.28,20,20,20,grey,dessicated
334,3.03,20,20,20,grey,dessicated
334,2.77,20,20,20,grey,dessicated
334,2.59,20,15,25,grey,dessicated
334,1.03,15,10,20,grey,dessicated
335,2.86,20,20,20,grey,dessicated
335,2.64,20,20,20,grey,dessicated
335,2.6,15,15,20,grey,dessicated
335,2.07,15,15,15,grey,dessicated
335,1.95,15,15,15,grey,dessicated
335,1.9,15,15,20,grey,dessicated
335,1.47,15,15,15,grey,dessicated
336,3.42,20,20,25,grey,dessicated
336,3.41,20,20,20,grey,dessicated
336,3.31,15,15,25,grey,dessicated
336,3.13,20,20,20,grey,dessicated
336,2.95,20,20,20,grey,dessicated
336,2.88,20,15,20,grey,dessicated
336,2.77,20,20,20,grey,dessicated
336,2.51,20,20,15,grey,dessicated
336,2.33,20,15,20,yellow,ripe
336,1.54,20,10,15,yellow brown,ripe
337,4.84,20,20,25,grey,dessicated
337,4.43,20,20,25,grey,dessicated
337,4.17,20,20,25,grey,dessicated
337,4.05,20,20,20,grey,dessicated
337,3.9,20,20,25,grey,dessicated
337,3.87,20,20,20,grey,dessicated
337,3.81,15,15,20,grey,dessicated
337,3.7,20,20,20,grey,dessicated
337,3.57,20,20,20,grey,dessicated
338,5.15,20,20,30,grey,dessicated
338,4.67,20,20,30,grey,dessicated
338,3.98,20,20,25,grey,dessicated
338,3.67,20,20,25,grey,dessicated
338,3.45,20,15,20,grey,dessicated
338,3.22,20,15,25,grey,dessicated
338,2.96,25,15,25,grey,dessicated
338,2.89,20,15,20,grey,dessicated
338,2.52,20,20,25,grey,dessicated
338,2.45,20,15,20,grey,dessicated
340,4.19,20,20,20,grey,dessicated
340,4.15,20,20,25,grey,dessicated
340,3.96,20,20,25,grey,dessicated
340,3.83,20,20,25,grey,dessicated
340,3.81,20,15,25,grey,dessicated
340,3.71,20,20,25,grey,dessicated
340,3.52,20,20,20,grey,dessicated
340,3.39,15,15,25,grey,dessicated
340,2.61,15,15,25,grey,dessicated
340,2.56,20,15,20,grey,dessicated
341,4.25,20,20,25,grey,dessicated
341,3.77,20,15,20,grey,dessicated
341,3.73,20,15,30,grey,dessicated
341,3.63,20,20,20,grey,dessicated
341,3.33,15,15,20,grey,dessicated
341,3.22,20,20,20,grey,dessicated
341,2.97,15,15,30,grey,dessicated
341,2.76,20,15,20,grey,dessicated
341,2.73,20,20,20,grey,dessicated
341,0.97,15,15,20,grey,dessicated
342,4.43,20,20,25,grey,dessicated
342,4.03,20,20,20,grey,dessicated
342,3.76,20,20,20,grey,dessicated
342,3.71,15,15,25,grey,dessicated
342,2.57,15,15,20,grey,dessicated
342,7.11,20,20,30,brown,ripe
342,6,20,20,30,yellow brown,ripe
342,5.45,20,20,25,brown,ripe
342,5.26,15,15,20,brown,ripe
342,5.19,20,20,20,brown,ripe
343,4.05,20,20,20,grey,dessicated
343,3.93,15,15,20,black,dessicated
