cactus.id,tag,fruit.id,fruit.weight,fruit.x,fruit.y,fruit.z,color,seeds
,341,353,3.33,15,15,20,grey,
,341,354,2.76,20,15,20,grey,
,341,355,4.25,20,20,25,grey,
,341,356,3.77,20,15,20,grey,
,341,357,3.22,20,20,20,grey,
,341,358,0.97,15,15,20,grey,
,341,359,2.73,20,20,20,grey,
,343,360,3.57,20,20,20,grey,
,343,361,3.66,20,20,20,grey,
,343,362,2.5,15,15,15,grey,
,343,363,3.72,15,15,20,grey,
,343,364,3.27,20,20,15,grey,
,343,365,3.46,20,20,20,grey,
,343,366,3.24,15,15,20,grey,
,343,367,3.93,15,15,20,black,
,343,368,4.05,20,20,20,grey,
,343,369,3.89,20,20,20,grey,
,340,370,4.15,20,20,25,grey,
,340,371,3.52,20,20,20,grey,
,340,372,3.71,20,20,25,grey,
,340,373,4.19,20,20,20,grey,
,340,374,3.96,20,20,25,grey,
,340,375,2.61,15,15,25,grey,
,340,376,3.81,20,15,25,grey,
,340,377,3.39,15,15,25,grey,
,340,378,2.56,20,15,20,grey,
,340,379,3.83,20,20,25,grey,
,344,380,2.85,15,15,30,black,
,344,381,1.4,10,10,20,grey,
,344,382,1.28,10,10,20,grey,
,344,383,3.43,15,15,30,black,
,344,384,2.85,20,20,20,black,
,344,385,2.07,20,15,30,grey,
,344,386,1.29,20,10,20,grey,
,344,387,1.03,10,10,20,grey,
,344,388,3.15,20,20,20,grey,
,344,389,1.83,20,15,20,grey,cracked
,345,390,7.44,20,20,30,brown,
,345,391,3.64,15,15,25,green,
,345,392,10,20,20,30,brown,
,345,393,7.2,20,20,25,brown,
,345,394,9.66,20,20,30,brown,
,345,395,8.91,20,20,25,brown,
,345,396,9.55,25,25,25,brown,
,345,397,8.94,20,20,35,yellow green,
,345,398,3.85,20,20,30,yellow,
,345,399,5.37,25,25,30,brown,
,355,400,5,20,20,25,grey,
,355,401,5.84,20,20,25,grey,
,355,402,4.12,20,15,25,grey,
,355,403,3.91,20,15,30,grey,
,355,404,3.5,20,20,25,grey,
,355,405,3.39,20,15,30,grey,
,355,406,3.87,20,15,20,grey,
,355,407,1.34,15,15,25,grey,
,355,408,8.17,20,20,35,black,
,355,409,3.62,20,20,20,grey,
,342,410,6,20,20,30,yellow brown,
,342,411,5.26,15,15,20,brown,
,342,412,5.19,20,20,20,brown,
,342,413,5.45,20,20,25,brown,
,342,414,4.43,20,20,25,grey,
,342,415,7.11,20,20,30,brown,
,342,416,3.71,15,15,25,grey,
,342,417,2.57,15,15,20,grey,
,342,418,4.03,20,20,20,grey,
,342,419,3.76,20,20,20,grey,
,326,420,2.15,20,20,20,grey,
,326,421,2.41,20,20,20,grey,
,326,422,2.31,20,20,15,grey,
,326,423,2.46,15,15,20,grey,
,326,424,2.14,15,15,20,grey,
,326,425,1.77,15,15,15,grey,
,326,426,2.63,20,20,20,grey,
,326,427,2.86,15,15,15,grey,
,326,428,2.07,20,20,20,grey,
,326,429,1.73,15,15,15,grey,
,323,430,2.44,20,20,20,grey,
,323,431,2.73,20,20,15,grey,
,323,432,2.39,15,15,20,grey,
,323,433,2.85,15,15,20,grey,
,323,434,2.71,20,20,20,grey,
,323,435,2.89,20,20,20,grey,
,323,436,2.11,20,20,20,grey,
,323,437,2.26,15,15,20,grey,
,323,438,2.25,20,20,20,grey,
,323,439,2.06,15,15,20,grey,
,332,440,3.99,20,20,25,grey,
,332,441,3.15,15,15,20,grey,
,332,442,1.47,15,15,20,grey,
,332,443,3.17,20,20,20,grey,
,332,444,3.03,20,20,20,grey,
,332,445,4.05,20,20,20,grey,
,332,446,3.46,15,15,20,grey,
,332,447,3.72,20,20,20,grey,
,332,448,3.23,20,20,20,grey,
,332,449,3.04,15,15,20,grey,
,321,450,6.49,20,20,25,brown,
,321,451,2.59,15,15,20,grey,
,321,452,3.12,20,20,20,grey,
,321,453,3.37,20,20,20,grey,
,321,454,2.52,15,15,20,grey,
,321,455,3.84,20,20,25,grey,
,321,456,2.76,20,20,25,grey,
,321,457,3.03,20,20,25,grey,
,321,458,1.35,15,15,25,grey,
,321,459,2.4,15,15,20,grey,
,324,460,4.81,20,20,35,grey,
,324,461,3.5,15,15,25,grey,
,324,462,3.27,15,15,25,grey,
,324,463,1.71,15,15,25,grey,
,324,464,3.59,20,20,20,grey,
,324,465,1.57,10,10,20,grey,
,324,466,3.23,15,15,25,grey,
,324,467,2.95,15,15,20,grey,
,324,468,0.77,10,10,20,grey,
,324,469,2.39,15,15,25,grey,
,322,470,4.54,20,20,20,brown,
,322,471,4.66,20,20,25,brown,
,322,472,2.14,20,15,15,brownn,
,322,473,2.39,20,15,20,grey,
,322,474,3.4,20,20,20,brown,
,322,475,3.4,20,20,20,brown,
,322,476,4.31,25,20,25,brown,
,322,477,1.15,15,10,15,brown,
,322,478,4.89,20,15,20,brown,
,322,479,3.74,20,20,20,brown,
,333,480,2.94,20,20,25,grey,
,333,481,4.39,20,20,25,black,
,333,482,2.77,15,15,20,grey,
,333,483,3.52,20,15,20,grey,cracked but all seeds apparently present
,333,484,3.28,20,15,20,grey,
,333,485,2.41,15,15,20,grey,
,333,486,2.4,20,15,20,grey,
,333,487,2.67,15,15,20,grey,
,333,488,2.56,20,20,20,grey,
,333,489,2.63,15,15,20,grey,
,326,490,4.71,20,20,20,grey,
,326,491,3.6,20,15,25,grey,
,326,492,3.91,20,20,20,grey,
,326,493,4.81,25,20,25,grey,
,326,494,3.98,20,20,20,grey,
,326,495,3.09,15,15,20,grey,
,326,496,6.27,20,20,25,grey,
,326,497,6.96,20,20,20,grey,
,326,498,4.87,20,20,25,grey,
,326,499,3.38,15,15,20,grey,
,337,500,4.17,20,20,25,grey,
,337,501,4.84,20,20,25,grey,
,337,502,3.7,20,20,20,grey,
,337,503,3.9,20,20,25,grey,
,337,504,3.57,20,20,20,grey,
,337,505,4.43,20,20,25,grey,
,337,506,3.81,15,15,20,grey,
,337,507,3.87,20,20,20,grey,
,337,508,4.05,20,20,20,grey,
,319,509,0.9,10,10,15,grey,
,319,510,0.77,10,10,15,grey,
,319,511,1.35,15,15,15,grey,
,319,512,1.17,10,10,15,grey,
,319,513,2.98,20,20,20,grey,
,319,514,0.74,15,10,15,grey,
,319,515,0.8,15,10,15,grey,
,319,516,3.33,20,20,20,grey,
,319,517,3.29,20,15,20,grey,
,319,518,1.25,15,15,15,grey,
,336,519,2.95,20,20,20,grey,
,336,520,1.54,20,10,15,yellow brown,
,336,521,2.33,20,15,20,yellow,
,336,522,3.41,20,20,20,grey,
,336,523,2.77,20,20,20,grey,
,336,524,2.51,20,20,15,grey,
,336,525,3.31,15,15,25,grey,
,336,526,3.13,20,20,20,grey,
,336,527,3.42,20,20,25,grey,
,336,528,2.88,20,15,20,grey,
,335,529,2.07,15,15,15,grey,
,335,530,2.86,20,20,20,grey,
,335,531,2.6,15,15,20,grey,
,335,532,2.64,20,20,20,grey,
,335,533,1.95,15,15,15,grey,
,335,534,1.47,15,15,15,grey,
,335,535,1.9,15,15,20,grey,
,318,536,4.44,20,20,25,grey,
,318,537,4.42,20,20,20,grey,
,318,538,4.26,20,20,20,grey,
,318,539,4.17,20,20,20,grey,
,318,540,4.97,20,20,25,grey,
,318,541,4.16,20,15,20,grey,
,318,542,4.23,20,15,25,grey,
,318,543,2.89,20,15,20,grey,
,318,544,4.23,20,20,20,grey,
,318,545,1.54,15,10,25,grey,
,334,546,2.77,20,20,20,grey,
,334,547,4.7,25,25,20,grey,
,334,548,1.03,15,10,20,grey,
,334,549,4.32,20,20,25,grey,
,334,550,3.28,20,20,20,grey,
,334,551,3.87,20,20,25,grey,
,334,552,3.03,20,20,20,grey,cracked
,334,553,2.59,20,15,25,grey,
,334,554,3.44,20,15,20,grey,
,334,555,4.23,15,15,25,grey,
,309,556,4.48,20,20,20,grey,
,309,557,5.7,20,20,30,grey,
,309,558,77,20,20,20,grey,
,309,559,3.71,20,20,20,grey,
,309,560,4.18,20,20,20,grey,
,309,561,4.5,20,20,20,grey,
,309,562,3.32,20,20,20,grey,
,309,563,4.53,20,20,20,grey,
,309,564,4.69,20,20,20,grey,
,309,565,3.61,20,20,20,grey,
,308,566,3.93,20,20,20,grey,
,308,567,2.97,20,20,20,grey,
,308,568,2.25,15,15,15,grey,
,308,569,4.3,20,15,20,grey,
,308,570,3.53,15,15,20,grey,
,308,571,3.27,15,15,20,grey,
,308,572,4.27,20,20,20,grey,
,308,573,4.23,15,15,25,grey,
,308,574,3.56,20,20,20,grey,
,308,575,3.41,15,15,15,grey,
,311,576,1.47,15,15,15,grey,
,311,577,1.36,15,15,15,grey,
,311,578,1.3,15,15,15,grey,
,311,579,4.5,20,20,20,grey,
,311,580,6.01,20,20,20,grey,
,311,581,4.57,20,20,20,grey,
,311,582,6.13,20,20,25,grey,
,311,583,4.6,20,20,15,grey,
,311,584,4.3,15,15,15,grey,
,311,585,5.4,20,20,20,grey,
,303,586,2.39,15,15,20,grey,
,303,587,1.78,10,10,15,grey,
,303,588,2.04,15,15,15,grey,
,303,589,2.01,15,15,15,grey,
,303,590,2.21,20,15,25,grey,
,303,591,3.28,20,20,30,grey,
,303,592,1.58,20,15,15,grey,
,303,593,1.66,15,15,15,grey,
,303,594,2.72,20,20,20,grey,
,303,595,2.18,15,15,20,grey,
,317,596,3.73,20,20,20,grey,
,317,597,3.19,20,20,20,grey,
,317,598,3.63,20,20,20,grey,
,317,599,4.49,20,20,20,grey,
,317,600,6.95,25,25,25,yellow green,
,317,601,8.19,20,20,20,yellow green,
,317,602,7.26,20,20,20,yellow green,
,317,603,2.27,15,15,15,yellow green,
,317,604,5.2,20,20,25,grey,
,317,605,4.72,20,20,20,grey,
,310,606,0.98,15,15,15,grey,cracked
,310,607,1.63,10,10,15,grey,
,310,608,1.18,10,10,20,grey,
,310,609,0.88,10,10,10,grey,
,310,610,1.06,10,10,15,grey,
,310,611,0.88,10,10,15,grey,
,310,612,1.89,10,10,15,grey,
,310,613,2.46,15,15,15,grey,
,310,614,2.6,15,10,20,grey,
,310,615,3.07,15,15,20,grey,
,306,616,3.5,20,15,25,grey,
,306,617,3.02,20,20,20,grey,
,306,618,2.66,20,20,20,grey,
,306,619,3.11,15,15,15,grey,
,306,620,3.66,20,20,20,grey,
,306,621,2.86,20,15,20,grey,
,306,622,3.62,20,20,20,grey,
,306,623,3.15,20,20,20,grey,
,306,624,2.54,20,20,20,grey,
,306,625,1.61,15,15,15,yellow,
,316,626,5.08,20,20,20,black,
,316,627,1.74,15,15,15,grey,
,316,628,3.54,20,20,25,grey,
,316,629,2.26,15,15,20,grey,
,316,630,0.97,15,15,20,grey,
,316,631,1.43,15,15,15,grey,
,316,632,3.18,15,15,20,grey,
,404,633,4.3,20,20,20,grey,
,402,634,3.31,15,15,20,grey,
,402,635,2.8,20,20,20,grey,
,402,636,2.56,15,15,15,grey,
,402,637,0.85,15,15,10,grey,
,402,638,3.13,20,20,20,grey,
,402,639,3.38,15,15,15,black,
,307,640,0.7,10,10,15,grey,
,307,641,3.82,20,20,25,grey,
,307,642,4.08,20,20,25,grey,
,307,643,2.78,15,15,20,grey,
,307,644,4.26,20,20,20,grey,
,307,645,3.99,20,20,20,grey,
,307,646,3.6,20,20,20,grey,
,307,647,2.48,15,15,20,grey,
,307,648,2.36,20,20,25,brown,
,307,649,4.09,20,20,20,grey,
,314,650,2.65,15,15,20,grey,
,314,651,2.26,15,15,15,grey,
,314,652,3.35,20,20,20,grey,
,314,653,3.82,20,20,20,grey,
,314,654,2.03,15,15,15,grey,
,314,655,3.21,20,20,20,grey,
,314,656,3.22,15,15,20,grey,
,314,657,2.25,15,15,20,grey,
,314,658,2.73,20,20,20,grey,
,314,659,2.54,20,20,20,grey,
,304,660,3.06,15,15,20,grey,
,304,661,2.44,15,15,20,grey,
,304,662,3.13,20,20,20,grey,
,304,663,2.08,15,15,20,grey,
,304,664,3.57,20,20,25,grey,
,304,665,3.27,20,20,25,grey,
,304,666,2.94,20,20,20,grey,
,304,667,3.68,20,20,25,grey,
,304,668,2.44,20,20,20,grey,
,304,669,1.29,15,15,15,grey,
,313,670,2.68,15,15,15,grey,
,313,671,1.55,15,15,15,grey,
,313,672,1.48,10,10,15,grey,
,313,673,2.1,15,15,15,grey,
,313,674,1.86,15,15,15,grey,
,313,675,1.59,15,15,15,grey,
,313,676,1.5,15,15,15,grey,
,313,677,2.21,15,15,15,grey,
,313,678,1.8,15,15,15,grey,
,313,679,1.83,15,15,15,grey,
,302,680,3.44,20,20,25,grey,
,302,681,2.47,15,15,20,grey,
,302,682,2.69,20,20,25,grey,
,302,683,3.52,20,20,25,grey,
,302,684,3.97,20,20,25,grey,
,302,685,3.07,20,20,25,grey,
,302,686,3.75,20,20,25,grey,
,302,687,2.11,15,15,25,grey,
,302,688,0.92,10,10,25,grey,
,302,689,1.97,15,15,25,grey,
,402,690,3.64,20,20,20,grey,
,402,691,3.79,20,20,20,grey,
,402,692,2.9,15,15,20,grey,
,402,693,2.98,20,20,20,grey,
,402,694,4.16,20,20,25,grey,
,402,695,3.61,20,20,20,brown,
,402,696,3.01,20,20,20,grey,
,402,697,2.73,20,20,20,grey,
,402,698,3.14,20,20,20,grey,
,402,699,3.6,20,20,20,grey,
,305,700,2.77,15,15,20,grey,
,305,701,1.65,15,15,15,grey,
,305,702,2.05,15,15,15,grey,
,305,703,0.81,15,15,15,grey,
,305,704,1.93,15,15,15,grey,
,305,705,1.05,10,10,10,grey,
,305,706,1.44,15,15,15,grey,
,305,707,1.47,15,15,15,grey,
,305,708,1.33,15,15,15,grey,
,305,709,3.34,15,15,15,grey,
