"Plot Title: 20597550"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597550, SEN S/N: 20597550)","Intensity, lum/ft² (LGR S/N: 20597550, SEN S/N: 20597550)","Coupler Attached (LGR S/N: 20597550)","Host Connected (LGR S/N: 20597550)","Coupler Detached (LGR S/N: 20597550)","Stopped (LGR S/N: 20597550)","End Of File (LGR S/N: 20597550)"
163,05/16/19 12:00:00 PM,90.309,272.0,,,,,
164,05/16/19 12:10:00 PM,87.552,272.0,,,,,
165,05/16/19 12:20:00 PM,85.915,352.0,,,,,
166,05/16/19 12:30:00 PM,89.569,368.0,,,,,
167,05/16/19 12:40:00 PM,87.552,384.0,,,,,
168,05/16/19 12:50:00 PM,87.004,384.0,,,,,
169,05/16/19 01:00:00 PM,84.834,288.0,,,,,
170,05/16/19 01:10:00 PM,85.374,960.0,,,,,
171,05/16/19 01:20:00 PM,98.307,1664.0,,,,,
172,05/16/19 01:30:00 PM,110.482,1536.0,,,,,
173,05/16/19 01:40:00 PM,119.397,960.0,,,,,
174,05/16/19 01:50:00 PM,111.580,576.0,,,,,
175,05/16/19 02:00:00 PM,95.783,576.0,,,,,
176,05/16/19 02:10:00 PM,92.174,256.0,,,,,
177,05/16/19 02:20:00 PM,83.579,256.0,,,,,
178,05/16/19 02:30:00 PM,76.876,168.0,,,,,
179,05/16/19 02:40:00 PM,69.107,480.0,,,,,
180,05/16/19 02:50:00 PM,70.137,200.0,,,,,
181,05/16/19 03:00:00 PM,69.107,304.0,,,,,
182,05/16/19 03:10:00 PM,73.926,400.0,,,,,
183,05/16/19 03:20:00 PM,78.098,576.0,,,,,
184,05/16/19 03:30:00 PM,81.266,672.0,,,,,
185,05/16/19 03:40:00 PM,85.014,256.0,,,,,
186,05/16/19 03:50:00 PM,85.374,576.0,,,,,
187,05/16/19 04:00:00 PM,90.309,864.0,,,,,
188,05/16/19 04:10:00 PM,96.168,288.0,,,,,
189,05/16/19 04:20:00 PM,83.221,176.0,,,,,
190,05/16/19 04:30:00 PM,81.266,864.0,,,,,
191,05/16/19 04:40:00 PM,84.474,800.0,,,,,
